antecedents,consequents
frozenset({'Dirt On My Boots'}),"frozenset({'Body Like A Back Road', 'Die A Happy Man'})"
frozenset({'Dirt Road Anthem'}),"frozenset({'Springsteen', 'Wagon Wheel', 'Play It Again', ""That's My Kind Of Night"", 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'This Is How We Roll', 'Die A Happy Man', 'Cruise', 'Chicken Fried', 'House Party'})"
frozenset({'Dirt'}),"frozenset({'Sun Daze', 'Springsteen', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'This Is How We Roll', 'H.O.L.Y.', 'Drunk On A Plane', 'Die A Happy Man', 'Homegrown', 'T-Shirt', 'Take Your Time', 'Chicken Fried', 'House Party', 'Anything Goes', 'Talladega'})"
frozenset({'Down In the DM'}),frozenset({'Broccoli (feat. Lil Yachty)'})
frozenset({'Down'}),frozenset({'Replay'})
frozenset({'Drink In My Hand'}),"frozenset({'Springsteen', 'Barefoot Blue Jean Night'})"
frozenset({'Drinking class'}),"frozenset({'House Party', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Die A Happy Man'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Bounce Back'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Congratulations'})","frozenset({'iSpy (feat. Lil Yachty)', 'HUMBLE.', 'Mask Off', 'goosebumps', 'XO TOUR Llif3'})"
"frozenset({'Drowning (feat. Kodak Black)', 'DNA.'})",frozenset({'HUMBLE.'})
"frozenset({'Drowning (feat. Kodak Black)', 'HUMBLE.', 'Mask Off'})",frozenset({'XO TOUR Llif3'})
"frozenset({'Drowning (feat. Kodak Black)', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'T-Shirt', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Mask Off'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Slippery (feat. Gucci Mane)'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Drowning (feat. Kodak Black)', 'T-Shirt'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Drowning (feat. Kodak Black)', 'Tunnel Vision'})","frozenset({'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Drowning (feat. Kodak Black)', 'XO TOUR Llif3', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'Drowning (feat. Kodak Black)', 'XO TOUR Llif3', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'Drowning (feat. Kodak Black)', 'XO TOUR Llif3'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Drowning (feat. Kodak Black)', 'goosebumps'})","frozenset({'HUMBLE.', 'Congratulations', 'Mask Off', 'XO TOUR Llif3'})"
"frozenset({'Drowning (feat. Kodak Black)', 'iSpy (feat. Lil Yachty)'})","frozenset({'HUMBLE.', 'Congratulations'})"
frozenset({'Drowning (feat. Kodak Black)'}),"frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'T-Shirt', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Tunnel Vision', 'Bank Account', 'HUMBLE.', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'Drunk On A Plane'}),"frozenset({'Sun Daze', 'Wagon Wheel', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'American Kids', 'Cruise', 'Take Your Time', 'T-Shirt', 'Anything Goes', 'Chicken Fried', 'House Party', 'Break Up In A Small Town', 'Springsteen', 'Body Like A Back Road', ""That's My Kind Of Night"", 'Sunshine & Whiskey', 'Somewhere On A Beach', 'This Is How We Roll', 'H.O.L.Y.', 'Homegrown', 'Die A Happy Man', 'Knee Deep (feat. Jimmy Buffett)', 'Dirt'})"
frozenset({'Drunk On You'}),"frozenset({'Barefoot Blue Jean Night', 'Play It Again'})"
frozenset({'Drunk On Your Love'}),"frozenset({'Snapback', 'Body Like A Back Road', 'Crash And Burn', 'Leave The Night On', 'H.O.L.Y.', 'Somewhere On A Beach', 'Die A Happy Man', 'T-Shirt', 'House Party', 'Stay A Little Longer'})"
frozenset({'Dynamite'}),"frozenset({'Replay', 'TiK ToK'})"
frozenset({'ELEMENT.'}),frozenset({'HUMBLE.'})
frozenset({'Energy'}),"frozenset({'Jumpman', 'Broccoli (feat. Lil Yachty)', 'Know Yourself', 'Back To Back', 'Trap Queen', 'No Role Modelz'})"
frozenset({'Erase Your Social'}),"frozenset({'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'You Was Right'})"
frozenset({'Exchange'}),"frozenset({""Don't""})"
frozenset({'F*ck Up Some Commas'}),"frozenset({'Jumpman', 'Antidote', 'Low Life', 'White Iverson', 'Where Ya At', 'No Role Modelz', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Fake Love', 'Mask Off'})","frozenset({'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'T-Shirt', 'HUMBLE.', 'Caroline', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Fake Love', 'Swang'})","frozenset({'Bounce Back', 'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Fake Love', 'Tunnel Vision'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Fake Love', 'goosebumps'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
frozenset({'Fake Love'}),"frozenset({'X (feat. Future)', 'Starboy', 'Congratulations', 'Needed Me', 'Portland', 'T-Shirt', 'Money Longer', 'Famous', 'Jumpman', 'Rolex', 'Antidote', 'Tunnel Vision', 'Panda', 'White Iverson', 'Mask Off', 'Passionfruit', 'Wet Dreamz', 'goosebumps', 'Sneakin’', 'For Free', 'iSpy (feat. Lil Yachty)', 'DNA.', 'Controlla', 'Moves', 'OOOUUU', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Location', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'What They Want', 'Father Stretch My Hands Pt. 1', 'Too Good', ""I'm the One"", 'Pop Style', 'Low Life', 'Unforgettable', 'Drowning (feat. Kodak Black)', 'Chill Bill', 'Selfish', 'HUMBLE.', 'Deja Vu', 'No Heart', 'One Night', 'Bounce Back', 'One Dance', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'Famous'}),"frozenset({'Congratulations', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Father Stretch My Hands Pt. 1', 'Jumpman', 'Too Good', 'Antidote', 'Pop Style', 'Low Life', 'Waves', 'HUMBLE.', 'Panda', 'Bounce Back', 'One Dance'})"
frozenset({'Father Stretch My Hands Pt. 1'}),"frozenset({'Congratulations', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'pick up the phone', 'Caroline', 'Fake Love', 'Famous', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Jumpman', 'Antidote', 'Low Life', 'White Iverson', 'Waves', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'One Dance'})"
frozenset({'Fergalicious'}),"frozenset({'Hollaback Girl', 'Low (feat T-Pain) - Feat T-Pain Album Version', 'Yeah!', 'Gold Digger', 'Promiscuous'})"
frozenset({'Fight Night'}),frozenset({'Jumpman'})
"frozenset({'Flex (Ooh, Ooh, Ooh)'})","frozenset({'679 (feat. Remy Boyz)', 'Jumpman', 'Antidote', 'No Role Modelz', 'Trap Queen', 'Panda', 'Come Get Her', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'For Free'}),"frozenset({'Caroline', 'Fake Love', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'One Dance', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
frozenset({'Forever'}),"frozenset({'Yeah!', 'Replay', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Kiss Me Thru The Phone', 'Stronger', 'Gold Digger', 'Ni**as In Paris'})"
frozenset({'From the Ground Up'}),"frozenset({'H.O.L.Y.', 'Die A Happy Man'})"
frozenset({'G.O.M.D.'}),"frozenset({'Jumpman', 'Broccoli (feat. Lil Yachty)', 'Wet Dreamz', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
frozenset({'Get Low - Street'}),"frozenset({'Ignition - Remix', 'Hot In Herre', 'Yeah!', 'Gold Digger', 'In Da Club'})"
"frozenset({'Get Me Some Of That', 'House Party'})","frozenset({'Leave The Night On', 'Crash And Burn', 'Die A Happy Man'})"
frozenset({'Get Me Some Of That'}),"frozenset({'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'T-Shirt', ""Runnin' Outta Moonlight"", 'Make Me Wanna', 'Chicken Fried', 'House Party', 'Stay A Little Longer', 'Break Up In A Small Town', 'Springsteen', 'Love You Like That', 'This Is How We Roll', 'Homegrown', 'Die A Happy Man', 'It Goes Like This', 'Beat Of The Music'})"
frozenset({'Get Right Witcha'}),"frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
frozenset({'Get Your Shine On'}),"frozenset({'Springsteen', 'Play It Again', ""That's My Kind Of Night"", 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'This Is How We Roll', 'Die A Happy Man', 'Round Here', 'Cruise', 'Chicken Fried', 'House Party'})"
frozenset({'Go Flex'}),"frozenset({'White Iverson', 'goosebumps', 'Congratulations'})"
"frozenset({'God, Your Mama, And Me'})","frozenset({'H.O.L.Y.', 'Body Like A Back Road'})"
"frozenset({'Gold Digger', 'In Da Club'})",frozenset({'Yeah!'})
frozenset({'Gold Digger'}),"frozenset({'Hey Ya! - Radio Mix / Club Mix', 'SexyBack', 'Hot In Herre', 'Tipsy - Club Mix', 'Low (feat T-Pain) - Feat T-Pain Album Version', ""It Wasn't Me"", 'In Da Club', 'Candy Shop', ""Hips Don't Lie"", 'Hollaback Girl', 'Ni**as In Paris', 'Ignition - Remix', 'Crazy In Love', ""Drop It Like It's Hot"", 'Promiscuous', ""Buy U a Drank (Shawty Snappin')"", 'Stronger', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Crank That (Soulja Boy)', 'Fergalicious', 'Forever', 'Smack That - Dirty', 'Yeah!', 'Get Low - Street'})"
frozenset({'Gold'}),frozenset({'Closer'})
frozenset({'Gonna Wanna Tonight'}),"frozenset({'T-Shirt', 'House Party', 'Crash And Burn', 'Leave The Night On', 'Die A Happy Man'})"
frozenset({'Gyalchester'}),"frozenset({'HUMBLE.', 'Portland', 'XO TOUR Llif3'})"
"frozenset({'H.O.L.Y.', 'Body Like A Back Road'})","frozenset({'T-Shirt', 'Crash And Burn', 'May We All', 'House Party', 'Die A Happy Man'})"
"frozenset({'H.O.L.Y.', 'Break Up In A Small Town'})",frozenset({'Die A Happy Man'})
"frozenset({'H.O.L.Y.', 'House Party'})","frozenset({'T-Shirt', 'Body Like A Back Road', 'Crash And Burn', 'Die A Happy Man'})"
"frozenset({'H.O.L.Y.', 'Snapback'})",frozenset({'T-Shirt'})
frozenset({'H.O.L.Y.'}),"frozenset({'I Like The Sound Of That', 'Wagon Wheel', 'Snapback', 'Play It Again', ""Don't It"", 'Leave The Night On', 'Middle of a Memory', 'Drunk On Your Love', 'T-Shirt', 'Song for Another Time', 'May We All', 'House Party', 'Springsteen', 'Backroad Song', 'From the Ground Up', 'Homegrown', 'Drunk On A Plane', 'God, Your Mama, And Me', ""It Don't Hurt Like It Used To"", 'Confession', 'Dirt', 'American Country Love Song', 'Crash And Burn', 'Barefoot Blue Jean Night', 'John Cougar, John Deere, John 3:16', 'Make You Miss Me', 'Take Your Time', 'Hurricane', 'Anything Goes', 'Chicken Fried', 'Sleep Without You', 'Stay A Little Longer', 'Break Up In A Small Town', 'Body Like A Back Road', ""I'm Comin' Over"", 'Break Up with Him', 'Somewhere On A Beach', 'This Is How We Roll', 'Die A Happy Man', 'It Goes Like This', 'Humble And Kind', 'Knee Deep (feat. Jimmy Buffett)', 'Head Over Boots'})"
"frozenset({'HUMBLE.', 'Chill Bill'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'HUMBLE.', 'DNA.', 'Mask Off'})","frozenset({'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'DNA.', 'goosebumps'})",frozenset({'Bounce Back'})
"frozenset({'HUMBLE.', 'Fake Love'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Caroline', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'HUMBLE.', 'Mask Off', 'Fake Love'})",frozenset({'Bounce Back'})
"frozenset({'HUMBLE.', 'Mask Off', 'Slippery (feat. Gucci Mane)'})","frozenset({'goosebumps', 'XO TOUR Llif3'})"
"frozenset({'HUMBLE.', 'Mask Off', 'Tunnel Vision'})",frozenset({'goosebumps'})
"frozenset({'HUMBLE.', 'Mask Off', 'goosebumps'})","frozenset({'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Caroline', 'Bounce Back', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'Mask Off'})","frozenset({'X (feat. Future)', 'Congratulations', 'Portland', 'T-Shirt', 'Fake Love', 'Money Longer', 'Jumpman', 'Rolex', 'Tunnel Vision', 'White Iverson', 'Butterfly Effect', 'goosebumps', 'iSpy (feat. Lil Yachty)', 'rockstar', 'DNA.', 'Moves', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Low Life', 'Unforgettable', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Chill Bill', 'Deja Vu', 'No Heart', 'XO TOUR Llif3', 'Bounce Back', 'Magnolia', ""I'm the One"", 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'Money Longer'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'HUMBLE.', 'Moves'})","frozenset({'Bounce Back', 'Mask Off'})"
"frozenset({'HUMBLE.', 'No Heart'})",frozenset({'Mask Off'})
"frozenset({'HUMBLE.', 'Portland'})","frozenset({'T-Shirt', 'Mask Off', 'DNA.', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'Rolex'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off'})"
"frozenset({'HUMBLE.', 'Slippery (feat. Gucci Mane)', 'Mask Off', 'goosebumps'})",frozenset({'XO TOUR Llif3'})
"frozenset({'HUMBLE.', 'Swang'})","frozenset({'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Caroline', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'T-Shirt', 'Mask Off'})","frozenset({'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'T-Shirt', 'X (feat. Future)'})",frozenset({'Mask Off'})
"frozenset({'HUMBLE.', 'T-Shirt', 'goosebumps'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'Tunnel Vision'})","frozenset({'Swang', 'X (feat. Future)', 'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'T-Shirt', 'Caroline', 'Mask Off', 'Fake Love', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'X (feat. Future)', 'Mask Off'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'HUMBLE.', 'X (feat. Future)'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'You Was Right', 'T-Shirt', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Fake Love'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off', 'Slippery (feat. Gucci Mane)'})",frozenset({'goosebumps'})
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off', 'goosebumps'})","frozenset({'Bounce Back', 'Congratulations', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})","frozenset({'Congratulations', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'X (feat. Future)'})",frozenset({'Mask Off'})
"frozenset({'HUMBLE.', 'XO TOUR Llif3', 'goosebumps'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'HUMBLE.', 'You Was Right', 'Mask Off'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'HUMBLE.', 'goosebumps'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'pick up the phone', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Tunnel Vision', 'Unforgettable', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'HUMBLE.'}),"frozenset({'X (feat. Future)', 'Starboy', 'Congratulations', 'Portland', 'T-Shirt', 'Fake Love', 'Money Longer', 'Famous', 'Rake It Up', 'Jumpman', 'DEVASTATED', 'Rolex', 'Antidote', 'Tunnel Vision', 'ELEMENT.', 'White Iverson', 'Panda', 'No Type', 'LOVE. FEAT. ZACARI.', 'All Night (feat. Knox Fortune)', '1-800-273-8255', 'Mask Off', 'Butterfly Effect', 'Passionfruit', 'goosebumps', ""It's A Vibe"", 'Wet Dreamz', 'Slide', 'Swimming Pools (Drank)', ""That's What I Like"", 'Come Get Her', 'iSpy (feat. Lil Yachty)', 'rockstar', 'DNA.', 'Moves', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'You Was Right', 'Bodak Yellow', 'pick up the phone', 'm.A.A.d city', 'V. 3005', 'Caroline', 'Redbone', 'Location', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'What They Want', 'Gyalchester', 'Father Stretch My Hands Pt. 1', 'Ni**as In Paris', 'Low Life', 'Pop Style', 'Unforgettable', 'Both (feat. Drake)', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Chill Bill', 'Deja Vu', 'No Heart', 'XO TOUR Llif3', 'Bounce Back', 'LOYALTY. FEAT. RIHANNA.', 'One Night', 'Magnolia', ""I'm the One"", 'Slippery (feat. Gucci Mane)'})"
frozenset({'Head Over Boots'}),"frozenset({'T-Shirt', 'Body Like A Back Road', 'Play It Again', 'Crash And Burn', 'House Party', 'H.O.L.Y.', 'Die A Happy Man'})"
frozenset({'HeadBand (feat. 2 Chainz)'}),"frozenset({'Broccoli (feat. Lil Yachty)', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', ""I Don't Fuck With You""})"
frozenset({'Hey Ya! - Radio Mix / Club Mix'}),"frozenset({'Yeah!', 'Gold Digger', 'Ignition - Remix'})"
frozenset({'Hollaback Girl'}),"frozenset({""Hips Don't Lie"", 'SexyBack', 'Replay', 'Ignition - Remix', 'Promiscuous', 'Umbrella', 'Low (feat T-Pain) - Feat T-Pain Album Version', 'Party In The U.S.A.', 'Fergalicious', ""It Wasn't Me"", 'Yeah!', 'Gold Digger', 'Toxic', 'TiK ToK'})"
"frozenset({'Homegrown', 'Chicken Fried'})",frozenset({'House Party'})
"frozenset({'Homegrown', 'Crash And Burn'})","frozenset({'Leave The Night On', 'Die A Happy Man'})"
"frozenset({'Homegrown', 'House Party'})",frozenset({'Chicken Fried'})
frozenset({'Homegrown'}),"frozenset({'Wagon Wheel', 'Snapback', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'Get Me Some Of That', 'American Kids', 'T-Shirt', 'Take Your Time', 'Chicken Fried', 'Toes', 'House Party', 'Loving You Easy', 'Stay A Little Longer', 'Break Up In A Small Town', 'Springsteen', 'Body Like A Back Road', 'Break Up with Him', 'Somewhere On A Beach', 'H.O.L.Y.', 'This Is How We Roll', 'Drunk On A Plane', 'Die A Happy Man', 'Knee Deep (feat. Jimmy Buffett)', 'Beat Of The Music', 'Dirt'})"
frozenset({'Honey Bee'}),"frozenset({'Barefoot Blue Jean Night', 'Chicken Fried'})"
frozenset({'Hot In Herre'}),"frozenset({'Ignition - Remix', 'Yeah!', 'Gold Digger', 'Get Low - Street', 'In Da Club'})"
frozenset({'Hotel California - Remastered'}),"frozenset({'Bohemian Rhapsody - Remastered 2011', 'Sweet Home Alabama'})"
"frozenset({'Hotline Bling', '679 (feat. Remy Boyz)'})","frozenset({'Jumpman', 'Trap Queen'})"
"frozenset({'Hotline Bling', 'Jumpman'})","frozenset({'679 (feat. Remy Boyz)', 'Trap Queen'})"
"frozenset({'Hotline Bling', 'Trap Queen'})","frozenset({'679 (feat. Remy Boyz)', 'Jumpman'})"
frozenset({'Hotline Bling'}),"frozenset({'Jumpman', '679 (feat. Remy Boyz)', 'Antidote', ""I Don't Fuck With You"", 'The Hills', 'White Iverson', 'Panda', ""Can't Feel My Face"", 'Trap Queen', 'No Role Modelz', 'Back To Back', 'One Dance'})"
"frozenset({'House Party', ""That's My Kind Of Night""})",frozenset({'Play It Again'})
"frozenset({'House Party', 'Drunk On A Plane'})","frozenset({'Play It Again', 'Crash And Burn'})"
"frozenset({'House Party', 'Take Your Time'})","frozenset({'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Die A Happy Man', 'Break Up In A Small Town'})"
frozenset({'House Party'}),"frozenset({'I Like The Sound Of That', 'Sun Daze', 'Snapback', 'Play It Again', 'Wagon Wheel', ""Don't It"", 'Leave The Night On', 'Get Me Some Of That', 'Gonna Wanna Tonight', 'Drunk On Your Love', 'T-Shirt', 'Song for Another Time', 'Let Me See Ya Girl', 'May We All', 'Sippin’ On Fire', 'Get Your Shine On', 'Springsteen', 'Backroad Song', 'H.O.L.Y.', 'Ready Set Roll', 'Drunk On A Plane', 'Homegrown', 'Talladega', 'Confession', 'Beat Of The Music', 'Dirt', 'American Country Love Song', 'Crash And Burn', 'Barefoot Blue Jean Night', 'John Cougar, John Deere, John 3:16', 'American Kids', 'Make You Miss Me', 'Dirt Road Anthem', 'Take Your Time', ""Runnin' Outta Moonlight"", 'Make Me Wanna', 'Hurricane', 'Sangria', 'Cruise', 'Anything Goes', 'Chicken Fried', 'Drinking class', ""Where It's At"", 'Stay A Little Longer', 'Loving You Easy', 'Country Girl (Shake It For Me)', 'Break Up In A Small Town', 'Toes', 'Body Like A Back Road', ""That's My Kind Of Night"", ""I'm Comin' Over"", 'Break Up with Him', 'Love You Like That', 'Sunshine & Whiskey', 'Somewhere On A Beach', 'This Is How We Roll', 'Die A Happy Man', 'Round Here', 'It Goes Like This', 'Kick The Dust Up', 'Knee Deep (feat. Jimmy Buffett)', ""Whatever She's Got"", 'Head Over Boots'})"
frozenset({'How Country Feels'}),"frozenset({""Runnin' Outta Moonlight"", 'Barefoot Blue Jean Night', 'Springsteen', 'Die A Happy Man'})"
frozenset({'Humble And Kind'}),"frozenset({'H.O.L.Y.', 'Die A Happy Man'})"
"frozenset({'Hurricane', 'Body Like A Back Road'})",frozenset({'Die A Happy Man'})
frozenset({'Hurricane'}),"frozenset({'Body Like A Back Road', 'Play It Again', ""I'm Comin' Over"", 'Crash And Burn', 'H.O.L.Y.', 'Die A Happy Man', 'T-Shirt', 'May We All', 'House Party'})"
"frozenset({'I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""'})",frozenset({'Closer'})
"frozenset({'I Like The Sound Of That', 'T-Shirt'})",frozenset({'Die A Happy Man'})
